id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52984949,Charming bedroom with private bathroom,336027760,Noel,,Fgura,35.86883,14.51912,Private room,28,1,0,,,4,365,0,
49579237,Full house in Malta Centeral close to everywhere,3424829,Mina,,Fgura,35.87301,14.51414,Entire home/apt,60,2,2,2021-09-20,0.40,9,267,2,
18067559,"Near airport, Valletta and 3 Cities",67175598,Miriam And Alejandro,,Fgura,35.8746,14.51697,Private room,34,2,109,2020-09-26,1.90,2,59,0,
37816653,"A cheerful,  welcoming  and spacious  apartment.",21921163,Dominic,,Fgura,35.8726,14.51321,Entire home/apt,400,1000,0,,,3,363,0,
49686314,Brand New and designed full house loacted central,205894043,Mina,,Fgura,35.87436,14.51526,Entire home/apt,100,2,0,,,1,363,0,
26932644,B2 Double bed with private bathroom for 2 guests,202019217,Louise,,Rabat (Victoria),36.0429,14.2397,Private room,66,1,1,2018-09-16,0.02,6,0,0,
38371203,Restored townhouse in the centre of Victoria. Rm.1,288378324,Liliana,,Rabat (Victoria),36.04358,14.23986,Private room,75,2,18,2021-10-30,0.64,6,351,17,
38014908,Restored townhouse in the centre of Victoria Rm.4,288378324,Liliana,,Rabat (Victoria),36.04329,14.24007,Private room,75,2,6,2021-09-02,0.21,6,295,3,
38371021,Restored townhouse in the centre of Victoria. Rm.2,288378324,Liliana,,Rabat (Victoria),36.04377,14.23818,Private room,75,2,2,2021-09-08,0.28,6,346,2,
38370867,Restored townhouse in the centre of Victoria. Rm.3,288378324,Liliana,,Rabat (Victoria),36.0446,14.24005,Private room,75,2,1,2019-09-22,0.04,6,347,0,
53821244,Maria Townhouse B&B,412720285,Anna,,Rabat (Victoria),36.0441,14.23828,Private room,56,1,0,,,1,326,0,
36905948,Provicario : Chambre vue pjazza hyper centre,275799744,Patrice,,Rabat (Victoria),36.04295,14.24314,Private room,120,2,2,2021-11-06,0.07,6,289,1,
36716602,"Provicario : Chambre, vue Citadelle, hyper centre",275799744,Patrice,,Rabat (Victoria),36.04459,14.23868,Private room,120,2,0,,,6,282,0,
29953947,Bedroom with en-suite in a shared Farmhouse,179991531,Roberta,,Rabat (Victoria),36.04294,14.23843,Private room,24,2,6,2019-09-17,0.17,3,0,0,
39958855,Chambre d'hôtes quartier historique de Victoria,168878367,Agnes,,Rabat (Victoria),36.04423,14.23824,Private room,65,2,0,,,4,363,0,
